order_id,user_id,restaurant_id,order_date,order_amount,name,city,membership,restaurant_name,cuisine,rating,order_month,order_year,order_day,order_value_band,user_order_count,loyalty_group
32,1407,93,2023-01-26,741.1,User_1407,Pune,Gold,Restaurant_93,Chinese,4.9,1,2023,Thursday,High Spend,5,Returning User
33,1761,346,2023-07-04,957.07,User_1761,Bangalore,Gold,Restaurant_346,Indian,4.5,7,2023,Tuesday,High Spend,6,Loyal User
34,844,350,2023-06-15,455.96,User_844,Chennai,Gold,Restaurant_350,Mexican,3.2,6,2023,Thursday,Mid Spend,5,Returning User
35,2858,291,2023-05-15,121.81,User_2858,Hyderabad,Regular,Restaurant_291,Mexican,4.3,5,2023,Monday,Low Spend,5,Returning User
36,186,113,2023-09-12,140.83,User_186,Chennai,Regular,Restaurant_113,Chinese,5.0,9,2023,Tuesday,Low Spend,4,Returning User
37,952,34,2023-02-01,1198.64,User_952,Chennai,Gold,Restaurant_34,Chinese,4.3,2,2023,Wednesday,Premium Spend,3,Returning User
38,2972,376,2023-01-11,751.82,User_2972,Bangalore,Regular,Restaurant_376,Indian,3.4,1,2023,Wednesday,High Spend,5,Returning User
39,118,170,2023-02-23,596.06,User_118,Pune,Regular,Restaurant_170,Mexican,4.4,2,2023,Thursday,High Spend,4,Returning User
40,2773,63,2023-07-25,622.5,User_2773,Pune,Gold,Restaurant_63,Italian,5.0,7,2023,Tuesday,High Spend,2,New User
41,1071,145,2023-01-09,753.16,User_1071,Hyderabad,Gold,Restaurant_145,Italian,3.1,1,2023,Monday,High Spend,3,Returning User
42,2274,121,2023-01-21,955.51,User_2274,Chennai,Regular,Restaurant_121,Indian,4.1,1,2023,Saturday,High Spend,2,New User
43,380,256,2023-03-26,850.52,User_380,Bangalore,Regular,Restaurant_256,Italian,3.1,3,2023,Sunday,High Spend,4,Returning User
44,633,161,2023-12-04,512.14,User_633,Pune,Gold,Restaurant_161,Mexican,3.8,12,2023,Monday,High Spend,3,Returning User
45,1146,426,2023-09-13,914.87,User_1146,Pune,Gold,Restaurant_426,Chinese,3.5,9,2023,Wednesday,High Spend,3,Returning User
46,2294,72,2023-12-25,602.82,User_2294,Pune,Regular,Restaurant_72,Mexican,3.4,12,2023,Monday,High Spend,7,Loyal User
47,505,69,2023-09-30,929.24,User_505,Hyderabad,Gold,Restaurant_69,Chinese,4.9,9,2023,Saturday,High Spend,8,Loyal User
48,372,397,2023-11-30,957.14,User_372,Chennai,Regular,Restaurant_397,Indian,4.8,11,2023,Thursday,High Spend,4,Returning User
49,2911,234,2023-02-10,183.82,User_2911,Pune,Regular,Restaurant_234,Chinese,3.7,2,2023,Friday,Low Spend,4,Returning User
50,1673,118,2023-09-26,298.54,User_1673,Chennai,Regular,Restaurant_118,Mexican,3.8,9,2023,Tuesday,Mid Spend,7,Loyal User
51,1853,381,2023-05-10,893.66,User_1853,Hyderabad,Gold,Restaurant_381,Italian,4.6,5,2023,Wednesday,High Spend,3,Returning User
52,799,462,2023-08-18,1423.59,User_799,Chennai,Regular,Restaurant_462,Italian,3.1,8,2023,Friday,Premium Spend,5,Returning User
53,638,262,2023-12-14,261.16,User_638,Hyderabad,Regular,Restaurant_262,Chinese,4.9,12,2023,Thursday,Mid Spend,2,New User
54,1042,266,2023-09-06,334.11,User_1042,Pune,Gold,Restaurant_266,Italian,3.9,9,2023,Wednesday,Mid Spend,5,Returning User
55,2610,172,2023-06-08,838.38,User_2610,Pune,Regular,Restaurant_172,Italian,3.9,6,2023,Thursday,High Spend,1,New User
56,2560,215,2023-10-20,1499.8,User_2560,Pune,Gold,Restaurant_215,Mexican,4.4,10,2023,Friday,Premium Spend,6,Loyal User
57,392,273,2023-06-16,852.11,User_392,Chennai,Regular,Restaurant_273,Indian,3.9,6,2023,Friday,High Spend,5,Returning User
58,606,361,2023-02-22,1281.55,User_606,Hyderabad,Gold,Restaurant_361,Indian,4.5,2,2023,Wednesday,Premium Spend,6,Loyal User
59,1785,247,2023-11-07,169.22,User_1785,Bangalore,Gold,Restaurant_247,Mexican,3.2,11,2023,Tuesday,Low Spend,2,New User
60,1077,373,2023-04-10,544.55,User_1077,Chennai,Regular,Restaurant_373,Indian,3.6,4,2023,Monday,High Spend,5,Returning User
61,1753,130,2023-08-30,1134.71,User_1753,Hyderabad,Gold,Restaurant_130,Indian,4.6,8,2023,Wednesday,Premium Spend,3,Returning User
62,723,165,2023-11-24,722.78,User_723,Bangalore,Gold,Restaurant_165,Mexican,4.3,11,2023,Friday,High Spend,4,Returning User
63,205,339,2023-07-27,1107.3,User_205,Pune,Gold,Restaurant_339,Indian,3.1,7,2023,Thursday,Premium Spend,2,New User
64,1565,189,2023-03-09,625.41,User_1565,Pune,Regular,Restaurant_189,Indian,4.8,3,2023,Thursday,High Spend,3,Returning User
65,2905,220,2023-04-07,881.86,User_2905,Pune,Gold,Restaurant_220,Mexican,3.2,4,2023,Friday,High Spend,3,Returning User
66,340,70,2023-08-12,1356.31,User_340,Chennai,Regular,Restaurant_70,Chinese,4.7,8,2023,Saturday,Premium Spend,3,Returning User
67,2716,233,2023-08-07,781.02,User_2716,Pune,Regular,Restaurant_233,Italian,4.5,8,2023,Monday,High Spend,8,Loyal User
68,850,292,2023-04-19,165.97,User_850,Chennai,Regular,Restaurant_292,Mexican,4.0,4,2023,Wednesday,Low Spend,5,Returning User
69,929,162,2023-07-10,1377.54,User_929,Chennai,Gold,Restaurant_162,Italian,3.3,7,2023,Monday,Premium Spend,2,New User
70,179,463,2023-09-23,890.18,User_179,Bangalore,Regular,Restaurant_463,Chinese,3.2,9,2023,Saturday,High Spend,6,Loyal User
71,773,256,2023-05-18,1401.97,User_773,Pune,Gold,Restaurant_256,Italian,3.1,5,2023,Thursday,Premium Spend,3,Returning User
72,204,413,2023-11-28,575.36,User_204,Bangalore,Regular,Restaurant_413,Italian,3.3,11,2023,Tuesday,High Spend,5,Returning User
73,1725,80,2023-04-19,765.76,User_1725,Bangalore,Gold,Restaurant_80,Italian,3.9,4,2023,Wednesday,High Spend,4,Returning User
74,1284,229,2023-12-01,1223.01,User_1284,Chennai,Regular,Restaurant_229,Italian,3.8,12,2023,Friday,Premium Spend,4,Returning User
75,849,444,2023-08-22,700.31,User_849,Pune,Regular,Restaurant_444,Chinese,4.7,8,2023,Tuesday,High Spend,4,Returning User
76,1565,233,2023-08-28,1117.61,User_1565,Pune,Regular,Restaurant_233,Italian,4.5,8,2023,Monday,Premium Spend,3,Returning User
77,1632,80,2023-10-22,851.28,User_1632,Bangalore,Regular,Restaurant_80,Italian,3.9,10,2023,Sunday,High Spend,5,Returning User
78,2286,432,2023-12-24,271.81,User_2286,Chennai,Regular,Restaurant_432,Mexican,5.0,12,2023,Sunday,Mid Spend,3,Returning User
79,1396,242,2023-03-09,1052.51,User_1396,Pune,Gold,Restaurant_242,Mexican,4.0,3,2023,Thursday,Premium Spend,4,Returning User
80,1965,291,2023-02-23,1323.7,User_1965,Hyderabad,Gold,Restaurant_291,Mexican,4.3,2,2023,Thursday,Premium Spend,4,Returning User
81,2320,368,2023-08-18,537.78,User_2320,Hyderabad,Gold,Restaurant_368,Indian,4.4,8,2023,Friday,High Spend,7,Loyal User
82,38,257,2023-01-11,1326.03,User_38,Chennai,Gold,Restaurant_257,Italian,3.4,1,2023,Wednesday,Premium Spend,3,Returning User
83,1149,347,2023-09-03,961.02,User_1149,Chennai,Gold,Restaurant_347,Chinese,4.8,9,2023,Sunday,High Spend,3,Returning User
84,2879,196,2023-12-29,488.53,User_2879,Pune,Gold,Restaurant_196,Italian,5.0,12,2023,Friday,Mid Spend,4,Returning User
85,2917,201,2023-11-12,1102.52,User_2917,Bangalore,Gold,Restaurant_201,Mexican,3.4,11,2023,Sunday,Premium Spend,9,Loyal User
86,2563,423,2023-10-28,1018.04,User_2563,Hyderabad,Regular,Restaurant_423,Indian,3.2,10,2023,Saturday,Premium Spend,4,Returning User
87,1750,385,2023-04-14,1103.42,User_1750,Pune,Gold,Restaurant_385,Chinese,4.4,4,2023,Friday,Premium Spend,7,Loyal User
88,58,320,2023-06-01,196.11,User_58,Bangalore,Regular,Restaurant_320,Italian,4.1,6,2023,Thursday,Low Spend,6,Loyal User
89,1619,158,2023-06-20,619.05,User_1619,Bangalore,Regular,Restaurant_158,Indian,4.5,6,2023,Tuesday,High Spend,6,Loyal User
90,2760,320,2023-01-16,264.05,User_2760,Hyderabad,Regular,Restaurant_320,Italian,4.1,1,2023,Monday,Mid Spend,3,Returning User
91,2309,476,2023-07-07,391.36,User_2309,Chennai,Gold,Restaurant_476,Mexican,3.4,7,2023,Friday,Mid Spend,4,Returning User
92,81,200,2023-01-07,870.09,User_81,Chennai,Regular,Restaurant_200,Chinese,3.9,1,2023,Saturday,High Spend,4,Returning User
93,2874,1,2023-01-22,441.18,User_2874,Hyderabad,Regular,Restaurant_1,Chinese,4.8,1,2023,Sunday,Mid Spend,5,Returning User
94,587,176,2023-12-10,285.28,User_587,Chennai,Regular,Restaurant_176,Italian,4.0,12,2023,Sunday,Mid Spend,2,New User
95,570,280,2023-02-20,795.58,User_570,Bangalore,Gold,Restaurant_280,Chinese,3.7,2,2023,Monday,High Spend,1,New User
96,1048,157,2023-09-17,711.84,User_1048,Pune,Regular,Restaurant_157,Italian,4.5,9,2023,Sunday,High Spend,1,New User
97,614,335,2023-09-18,190.14,User_614,Hyderabad,Regular,Restaurant_335,Italian,3.9,9,2023,Monday,Low Spend,3,Returning User
98,1135,161,2023-12-05,1225.83,User_1135,Bangalore,Regular,Restaurant_161,Mexican,3.8,12,2023,Tuesday,Premium Spend,5,Returning User
99,549,11,2023-11-25,146.68,User_549,Pune,Gold,Restaurant_11,Chinese,4.9,11,2023,Saturday,Low Spend,3,Returning User
100,2811,484,2023-12-15,632.94,User_2811,Bangalore,Gold,Restaurant_484,Mexican,4.2,12,2023,Friday,High Spend,2,New User
101,1337,96,2023-09-24,852.59,User_1337,Bangalore,Regular,Restaurant_96,Mexican,4.4,9,2023,Sunday,High Spend,11,Loyal User
102,991,482,2023-03-07,913.83,User_991,Pune,Regular,Restaurant_482,Chinese,4.5,3,2023,Tuesday,High Spend,3,Returning User
103,1922,492,2023-04-11,1017.18,User_1922,Chennai,Gold,Restaurant_492,Italian,4.0,4,2023,Tuesday,Premium Spend,3,Returning User
104,1115,379,2023-10-03,1191.17,User_1115,Chennai,Regular,Restaurant_379,Mexican,4.1,10,2023,Tuesday,Premium Spend,6,Loyal User
105,804,407,2023-06-01,109.14,User_804,Bangalore,Gold,Restaurant_407,Mexican,4.6,6,2023,Thursday,Low Spend,5,Returning User
106,2873,68,2023-11-18,1352.79,User_2873,Pune,Gold,Restaurant_68,Italian,4.1,11,2023,Saturday,Premium Spend,6,Loyal User
107,1118,388,2023-03-05,1037.09,User_1118,Pune,Gold,Restaurant_388,Indian,3.9,3,2023,Sunday,Premium Spend,4,Returning User
108,1493,5,2023-04-16,1375.29,User_1493,Chennai,Regular,Restaurant_5,Chinese,4.8,4,2023,Sunday,Premium Spend,8,Loyal User
109,532,432,2023-05-27,1461.82,User_532,Hyderabad,Gold,Restaurant_432,Mexican,5.0,5,2023,Saturday,Premium Spend,4,Returning User
110,1350,220,2023-06-04,932.09,User_1350,Bangalore,Gold,Restaurant_220,Mexican,3.2,6,2023,Sunday,High Spend,3,Returning User
111,1416,66,2023-03-30,1346.23,User_1416,Pune,Regular,Restaurant_66,Italian,4.7,3,2023,Thursday,Premium Spend,1,New User
112,2446,447,2023-11-15,149.76,User_2446,Bangalore,Gold,Restaurant_447,Chinese,3.2,11,2023,Wednesday,Low Spend,4,Returning User
113,2265,28,2023-04-13,475.81,User_2265,Pune,Gold,Restaurant_28,Chinese,3.6,4,2023,Thursday,Mid Spend,8,Loyal User
114,142,390,2023-07-29,842.42,User_142,Pune,Regular,Restaurant_390,Mexican,4.7,7,2023,Saturday,High Spend,3,Returning User
115,827,184,2023-02-17,367.72,User_827,Chennai,Gold,Restaurant_184,Mexican,3.5,2,2023,Friday,Mid Spend,4,Returning User
116,2476,319,2023-03-12,296.82,User_2476,Pune,Regular,Restaurant_319,Indian,3.1,3,2023,Sunday,Mid Spend,5,Returning User
117,1449,328,2023-05-07,1485.31,User_1449,Pune,Gold,Restaurant_328,Mexican,4.6,5,2023,Sunday,Premium Spend,6,Loyal User
118,1209,209,2023-07-22,880.41,User_1209,Bangalore,Gold,Restaurant_209,Indian,3.6,7,2023,Saturday,High Spend,5,Returning User
119,1741,257,2023-09-18,1008.64,User_1741,Pune,Gold,Restaurant_257,Italian,3.4,9,2023,Monday,Premium Spend,3,Returning User
120,1385,379,2023-08-06,1146.39,User_1385,Bangalore,Regular,Restaurant_379,Mexican,4.1,8,2023,Sunday,Premium Spend,4,Returning User
121,383,438,2023-07-31,930.64,User_383,Hyderabad,Regular,Restaurant_438,Italian,3.2,7,2023,Monday,High Spend,3,Returning User
122,2661,376,2023-08-01,769.46,User_2661,Chennai,Gold,Restaurant_376,Indian,3.4,8,2023,Tuesday,High Spend,4,Returning User
123,2440,73,2023-12-17,1492.73,User_2440,Pune,Regular,Restaurant_73,Mexican,3.1,12,2023,Sunday,Premium Spend,3,Returning User
124,257,102,2023-06-07,996.95,User_257,Chennai,Regular,Restaurant_102,Italian,4.9,6,2023,Wednesday,High Spend,2,New User
125,1649,14,2023-10-09,1345.86,User_1649,Chennai,Gold,Restaurant_14,Indian,3.8,10,2023,Monday,Premium Spend,7,Loyal User
126,970,122,2023-09-29,320.68,User_970,Bangalore,Regular,Restaurant_122,Indian,3.9,9,2023,Friday,Mid Spend,3,Returning User
127,2913,309,2023-01-04,1251.4,User_2913,Pune,Gold,Restaurant_309,Indian,4.5,1,2023,Wednesday,Premium Spend,3,Returning User
128,42,152,2023-06-10,379.57,User_42,Bangalore,Regular,Restaurant_152,Indian,4.8,6,2023,Saturday,Mid Spend,4,Returning User
129,1227,46,2023-11-28,158.62,User_1227,Hyderabad,Gold,Restaurant_46,Chinese,3.6,11,2023,Tuesday,Low Spend,5,Returning User
130,1128,418,2023-09-05,710.77,User_1128,Pune,Gold,Restaurant_418,Chinese,3.3,9,2023,Tuesday,High Spend,8,Loyal User
131,2850,389,2023-08-10,1406.07,User_2850,Hyderabad,Gold,Restaurant_389,Italian,4.9,8,2023,Thursday,Premium Spend,6,Loyal User
132,778,302,2023-03-03,198.22,User_778,Hyderabad,Gold,Restaurant_302,Mexican,4.9,3,2023,Friday,Low Spend,7,Loyal User
133,2384,165,2023-03-29,872.28,User_2384,Pune,Regular,Restaurant_165,Mexican,4.3,3,2023,Wednesday,High Spend,7,Loyal User
134,45,220,2023-03-24,775.17,User_45,Hyderabad,Gold,Restaurant_220,Mexican,3.2,3,2023,Friday,High Spend,5,Returning User
135,912,483,2023-11-09,365.07,User_912,Bangalore,Regular,Restaurant_483,Chinese,4.5,11,2023,Thursday,Mid Spend,3,Returning User
136,2643,175,2023-02-16,968.84,User_2643,Chennai,Regular,Restaurant_175,Chinese,4.1,2,2023,Thursday,High Spend,3,Returning User
137,1603,20,2023-05-27,1401.56,User_1603,Chennai,Gold,Restaurant_20,Indian,3.7,5,2023,Saturday,Premium Spend,4,Returning User
138,880,384,2023-05-09,1140.38,User_880,Pune,Regular,Restaurant_384,Mexican,4.6,5,2023,Tuesday,Premium Spend,4,Returning User
139,1639,19,2023-04-20,1446.43,User_1639,Hyderabad,Regular,Restaurant_19,Indian,3.6,4,2023,Thursday,Premium Spend,5,Returning User
140,765,381,2023-03-13,1381.41,User_765,Hyderabad,Gold,Restaurant_381,Italian,4.6,3,2023,Monday,Premium Spend,3,Returning User
141,1831,384,2023-11-12,1129.47,User_1831,Hyderabad,Gold,Restaurant_384,Mexican,4.6,11,2023,Sunday,Premium Spend,5,Returning User
142,1860,112,2023-02-07,1331.64,User_1860,Chennai,Gold,Restaurant_112,Chinese,3.2,2,2023,Tuesday,Premium Spend,6,Loyal User
143,1729,259,2023-11-22,158.75,User_1729,Chennai,Gold,Restaurant_259,Mexican,3.7,11,2023,Wednesday,Low Spend,3,Returning User
144,2519,452,2023-04-16,247.03,User_2519,Chennai,Gold,Restaurant_452,Chinese,4.4,4,2023,Sunday,Mid Spend,8,Loyal User
145,1243,11,2023-09-17,365.51,User_1243,Hyderabad,Gold,Restaurant_11,Chinese,4.9,9,2023,Sunday,Mid Spend,3,Returning User
146,93,2,2023-04-20,1250.74,User_93,Bangalore,Regular,Restaurant_2,Indian,4.1,4,2023,Thursday,Premium Spend,6,Loyal User
147,1821,268,2023-05-27,172.91,User_1821,Hyderabad,Regular,Restaurant_268,Indian,3.8,5,2023,Saturday,Low Spend,4,Returning User
148,1975,73,2023-02-06,607.82,User_1975,Bangalore,Regular,Restaurant_73,Mexican,3.1,2,2023,Monday,High Spend,4,Returning User
149,2337,345,2023-06-24,932.79,User_2337,Bangalore,Gold,Restaurant_345,Chinese,4.3,6,2023,Saturday,High Spend,7,Loyal User
150,2136,486,2023-03-01,1402.24,User_2136,Hyderabad,Regular,Restaurant_486,Italian,4.1,3,2023,Wednesday,Premium Spend,5,Returning User
151,863,474,2023-12-07,1148.35,User_863,Bangalore,Gold,Restaurant_474,Mexican,3.5,12,2023,Thursday,Premium Spend,2,New User
152,2115,176,2023-09-29,112.31,User_2115,Pune,Gold,Restaurant_176,Italian,4.0,9,2023,Friday,Low Spend,2,New User
153,2832,34,2023-02-16,641.49,User_2832,Hyderabad,Gold,Restaurant_34,Chinese,4.3,2,2023,Thursday,High Spend,7,Loyal User
154,623,244,2023-05-28,221.42,User_623,Pune,Gold,Restaurant_244,Italian,4.3,5,2023,Sunday,Mid Spend,5,Returning User
155,2523,90,2023-03-12,484.27,User_2523,Pune,Gold,Restaurant_90,Italian,4.8,3,2023,Sunday,Mid Spend,5,Returning User
156,282,179,2023-08-02,1373.33,User_282,Chennai,Gold,Restaurant_179,Italian,3.5,8,2023,Wednesday,Premium Spend,3,Returning User
157,436,120,2023-05-26,439.11,User_436,Bangalore,Gold,Restaurant_120,Italian,3.2,5,2023,Friday,Mid Spend,5,Returning User
158,2732,182,2023-01-16,439.9,User_2732,Hyderabad,Regular,Restaurant_182,Mexican,4.8,1,2023,Monday,Mid Spend,2,New User
159,2152,357,2023-01-04,1070.88,User_2152,Chennai,Gold,Restaurant_357,Italian,3.8,1,2023,Wednesday,Premium Spend,3,Returning User
160,1291,381,2023-03-30,139.67,User_1291,Chennai,Gold,Restaurant_381,Italian,4.6,3,2023,Thursday,Low Spend,6,Loyal User
161,354,319,2023-09-29,175.84,User_354,Chennai,Regular,Restaurant_319,Indian,3.1,9,2023,Friday,Low Spend,7,Loyal User
162,939,208,2023-11-06,763.73,User_939,Chennai,Regular,Restaurant_208,Mexican,4.7,11,2023,Monday,High Spend,3,Returning User
163,2852,86,2023-12-26,190.64,User_2852,Pune,Regular,Restaurant_86,Indian,4.2,12,2023,Tuesday,Low Spend,4,Returning User
164,2241,104,2023-08-08,411.65,User_2241,Chennai,Regular,Restaurant_104,Chinese,4.9,8,2023,Tuesday,Mid Spend,2,New User
165,1982,325,2023-05-12,761.84,User_1982,Chennai,Gold,Restaurant_325,Italian,4.5,5,2023,Friday,High Spend,8,Loyal User
166,1583,169,2023-10-06,456.5,User_1583,Hyderabad,Gold,Restaurant_169,Italian,4.2,10,2023,Friday,Mid Spend,4,Returning User
167,1644,483,2023-10-11,427.18,User_1644,Bangalore,Regular,Restaurant_483,Chinese,4.5,10,2023,Wednesday,Mid Spend,1,New User
168,1437,135,2023-06-15,1357.22,User_1437,Hyderabad,Gold,Restaurant_135,Indian,3.7,6,2023,Thursday,Premium Spend,3,Returning User
169,2475,320,2023-04-07,1013.3,User_2475,Pune,Gold,Restaurant_320,Italian,4.1,4,2023,Friday,Premium Spend,6,Loyal User
170,2134,290,2023-03-09,1352.94,User_2134,Hyderabad,Regular,Restaurant_290,Chinese,4.9,3,2023,Thursday,Premium Spend,5,Returning User
171,968,319,2023-07-15,1102.1,User_968,Bangalore,Regular,Restaurant_319,Indian,3.1,7,2023,Saturday,Premium Spend,4,Returning User
172,1953,332,2023-01-22,1307.06,User_1953,Chennai,Gold,Restaurant_332,Chinese,4.8,1,2023,Sunday,Premium Spend,3,Returning User
173,1352,109,2023-06-18,164.31,User_1352,Pune,Gold,Restaurant_109,Chinese,5.0,6,2023,Sunday,Low Spend,5,Returning User
174,740,371,2023-12-11,1161.71,User_740,Hyderabad,Gold,Restaurant_371,Chinese,3.1,12,2023,Monday,Premium Spend,4,Returning User
175,238,379,2023-10-27,1482.75,User_238,Hyderabad,Regular,Restaurant_379,Mexican,4.1,10,2023,Friday,Premium Spend,3,Returning User
176,2544,171,2023-12-17,552.39,User_2544,Hyderabad,Gold,Restaurant_171,Mexican,3.6,12,2023,Sunday,High Spend,1,New User
177,2271,117,2023-05-15,1088.98,User_2271,Pune,Gold,Restaurant_117,Indian,3.9,5,2023,Monday,Premium Spend,3,Returning User
178,424,375,2023-05-14,1402.18,User_424,Bangalore,Gold,Restaurant_375,Chinese,4.3,5,2023,Sunday,Premium Spend,5,Returning User
179,1437,91,2023-09-07,703.69,User_1437,Hyderabad,Gold,Restaurant_91,Italian,4.8,9,2023,Thursday,High Spend,3,Returning User
180,816,399,2023-05-19,1289.82,User_816,Chennai,Regular,Restaurant_399,Chinese,3.2,5,2023,Friday,Premium Spend,3,Returning User
181,1090,136,2023-04-20,1437.19,User_1090,Pune,Regular,Restaurant_136,Indian,3.6,4,2023,Thursday,Premium Spend,3,Returning User
182,131,123,2023-02-09,1470.97,User_131,Chennai,Gold,Restaurant_123,Chinese,4.2,2,2023,Thursday,Premium Spend,5,Returning User
183,724,489,2023-06-26,561.65,User_724,Hyderabad,Regular,Restaurant_489,Italian,3.0,6,2023,Monday,High Spend,1,New User
184,1945,391,2023-03-09,518.58,User_1945,Pune,Regular,Restaurant_391,Indian,3.3,3,2023,Thursday,High Spend,4,Returning User
185,1722,54,2023-08-13,105.4,User_1722,Hyderabad,Gold,Restaurant_54,Italian,4.9,8,2023,Sunday,Low Spend,2,New User
186,2704,285,2023-05-31,1028.25,User_2704,Pune,Gold,Restaurant_285,Mexican,4.8,5,2023,Wednesday,Premium Spend,3,Returning User
187,2805,116,2023-06-22,803.92,User_2805,Bangalore,Regular,Restaurant_116,Chinese,4.2,6,2023,Thursday,High Spend,5,Returning User
188,2666,277,2023-06-30,558.85,User_2666,Chennai,Gold,Restaurant_277,Mexican,3.3,6,2023,Friday,High Spend,5,Returning User
189,574,442,2023-09-02,805.04,User_574,Chennai,Regular,Restaurant_442,Italian,3.7,9,2023,Saturday,High Spend,4,Returning User
190,1542,237,2023-03-13,501.58,User_1542,Bangalore,Regular,Restaurant_237,Italian,4.5,3,2023,Monday,High Spend,3,Returning User
191,2482,116,2023-05-05,1340.73,User_2482,Chennai,Regular,Restaurant_116,Chinese,4.2,5,2023,Friday,Premium Spend,5,Returning User
192,345,76,2023-04-24,862.55,User_345,Chennai,Gold,Restaurant_76,Italian,4.7,4,2023,Monday,High Spend,4,Returning User
193,2405,126,2023-01-20,261.66,User_2405,Bangalore,Regular,Restaurant_126,Italian,4.5,1,2023,Friday,Mid Spend,7,Loyal User
